Time,TrueValue,Measured_Z,Filtered_X
75000,0,14,5
145000,0,-50,-19
215000,0,-97,-53
285000,0,-61,-57
355000,0,5,-31
425000,0,56,5
495000,0,-61,-23
565000,0,-93,-53
635000,0,1,-31
705000,0,5,-16
775000,0,46,10
845000,0,24,15
915000,0,93,48
985000,0,55,50
1055000,0,98,70
1125000,0,-23,30
1195000,0,-23,7
1265000,0,-34,-11
1335000,0,90,31
1405000,0,-54,-5
1475000,0,-93,-43
1545000,0,56,-2
1615000,0,95,39
1685000,0,-19,14
1755000,0,-9,4
1825000,0,-23,-8
1895000,0,36,10
1965000,0,-26,-6
2035000,0,-83,-39
2105000,0,-61,-49
2175000,0,-61,-55
2245000,0,4,-31
2315000,0,-50,-40
2385000,0,13,-18
2455000,0,67,17
2525000,0,-39,-7
2595000,0,-42,-22
2665000,0,-93,-53
2735000,0,-95,-71
2805000,0,-68,-70
2875000,0,42,-23
2945000,0,-17,-21
3015000,0,-100,-55
3085000,0,-32,-46
3155000,0,12,-22
3225000,0,-19,-21
3295000,0,14,-7
3365000,0,4,-3
3435000,0,-21,-11
3505000,0,-77,-39
3575000,1000,1095,440
3645000,1000,1054,699
3715000,1000,1026,837
3785000,1000,985,899
3855000,1000,1047,961
3925000,1000,953,957
3995000,1000,1092,1014
4065000,1000,1071,1038
4135000,1000,1078,1054
4205000,1000,1068,1059
4275000,1000,974,1023
4345000,1000,1017,1020
4415000,1000,904,970
4485000,1000,944,958
4555000,1000,1053,998
4625000,1000,1031,1011
4695000,1000,923,973
4765000,1000,1023,994
4835000,1000,949,974
4905000,1000,1008,988
4975000,1000,1095,1033
5045000,1000,1085,1055
5115000,1000,1039,1048
5185000,1000,1030,1040
5255000,1000,1063,1049
5325000,1000,1056,1051
5395000,1000,1098,1070
5465000,1000,972,1028
5535000,1000,962,1000
5605000,1000,936,972
5675000,1000,935,956
5745000,1000,1054,997
5815000,1000,928,967
5885000,1000,981,972
5955000,1000,984,977
6025000,1000,932,957
6095000,1000,1059,1000
6165000,1000,1005,1002
6235000,1000,976,990
6305000,1000,1079,1027
6375000,1000,946,992
6445000,1000,1024,1005
6515000,1000,1007,1005
6585000,1000,949,981
6655000,1000,1043,1007
6725000,1000,1023,1013
6795000,1000,1012,1012
6865000,1000,983,999
6935000,1000,1052,1021
7005000,1000,947,989
7075000,1000,1036,1008
7145000,1000,1029,1016
7215000,1000,925,977
7285000,1000,1017,993
7355000,1000,1035,1010
7425000,1000,952,985
7495000,1000,955,972
7565000,1000,961,967
7635000,1000,1098,1022
7705000,1000,915,976
7775000,1000,1045,1005
7845000,1000,964,987
7915000,1000,918,957
7985000,1000,970,962
8055000,1000,937,951
8125000,1000,1027,983
8195000,1000,1097,1031
8265000,1000,979,1008
8335000,1000,990,1000
8405000,1000,1035,1014
8475000,1000,1016,1014
8545000,1000,993,1005
8615000,1000,985,996
8685000,1000,939,971
8755000,1000,971,971
8825000,1000,987,977
8895000,1000,1048,1007
8965000,1000,1027,1015
9035000,1000,982,1001
9105000,1000,1017,1007
9175000,1000,1067,1032
9245000,1000,1006,1020
9315000,1000,1087,1048
9385000,1000,960,1010
9455000,1000,999,1005
9525000,1000,976,992
9595000,1000,1034,1009
9665000,1000,1031,1018
9735000,1000,940,984
9805000,1000,904,950
9875000,1000,1072,1001
9945000,1000,922,967
10015000,1000,1048,1001
10085000,1000,972,988
10155000,1000,1058,1017
10225000,1000,1058,1034
10295000,1000,901,977
10365000,1000,935,959
10435000,1000,1086,1012
10505000,1000,930,977
10575000,1000,1085,1022
10645000,1000,942,988
10715000,1000,946,970
10785000,1000,1079,1016
10855000,1000,1072,1039
10925000,1000,1059,1047
10995000,1000,927,996
11065000,1000,1002,998
11135000,1000,1097,1039
11205000,1000,1041,1039
11275000,1000,971,1010
11345000,1000,1053,1028
11415000,1000,1016,1022
11485000,1000,917,977
11555000,1000,978,977
11625000,1000,918,952
11695000,1000,903,931
11765000,1000,1011,964
11835000,1000,999,978
11905000,1000,1016,994
11975000,1000,911,958
12045000,1000,1053,998
12115000,1000,985,992
12185000,1000,924,963
12255000,1000,1040,995
12325000,1000,944,973
12395000,1000,945,961
12465000,1000,1073,1008
12535000,1000,1037,1020
12605000,1000,1098,1053
12675000,1000,1084,1066
12745000,1000,910,999
12815000,1000,972,987
12885000,1000,1022,1001
12955000,1000,1059,1025
13025000,1000,1076,1046
13095000,1000,1015,1032
13165000,1000,971,1006
13235000,1000,1049,1024
13305000,1000,1087,1050
13375000,1000,1053,1051
13445000,1000,1047,1049
13515000,1000,1050,1049
13585000,1000,986,1022
13655000,1000,981,1004
13725000,1000,1048,1022
13795000,1000,998,1011
13865000,1000,938,980
13935000,1000,1009,992
14005000,1000,963,979
14075000,-500,-447,375
14145000,-500,-569,-25
14215000,-500,-404,-186
14285000,-500,-580,-353
14355000,-500,-584,-451
14425000,-500,-424,-440
14495000,-500,-523,-476
14565000,-500,-541,-504
14635000,-500,-470,-490
14705000,-500,-555,-518
14775000,-500,-508,-514
14845000,-500,-546,-528
14915000,-500,-469,-504
14985000,-500,-534,-517
15055000,-500,-434,-482
15125000,-500,-537,-506
15195000,-500,-494,-501
15265000,-500,-510,-505
15335000,-500,-538,-519
15405000,-500,-483,-504
15475000,-500,-483,-496
15545000,-500,-545,-517
15615000,-500,-438,-484
15685000,-500,-578,-524
15755000,-500,-553,-537
15825000,-500,-421,-488
15895000,-500,-421,-460
15965000,-500,-492,-474
16035000,-500,-458,-468
16105000,-500,-522,-491
16175000,-500,-429,-465
16245000,-500,-427,-449
16315000,-500,-423,-438
16385000,-500,-427,-434
16455000,-500,-443,-438
16525000,-500,-530,-477
16595000,-500,-450,-466
16665000,-500,-548,-501
16735000,-500,-402,-460
16805000,-500,-505,-480
16875000,-500,-480,-480
16945000,-500,-526,-500
17015000,-500,-448,-478
17085000,-500,-511,-492
17155000,-500,-420,-462
17225000,-500,-434,-451
17295000,-500,-537,-488
17365000,-500,-444,-470
17435000,-500,-502,-484
17505000,-500,-596,-532
17575000,-500,-507,-522
17645000,-500,-421,-480
17715000,-500,-479,-480
17785000,-500,-554,-512
17855000,-500,-544,-526
17925000,-500,-458,-498
17995000,-500,-446,-476
18065000,-500,-532,-500
18135000,-500,-439,-475
18205000,-500,-442,-462
18275000,-500,-484,-472
18345000,-500,-583,-519
18415000,-500,-470,-499
18485000,-500,-524,-510
18555000,-500,-589,-544
18625000,-500,-495,-524
18695000,-500,-407,-475
18765000,-500,-491,-482
18835000,-500,-418,-455
18905000,-500,-548,-495
18975000,-500,-575,-529
19045000,-500,-577,-550
19115000,-500,-415,-493
19185000,-500,-467,-482
19255000,-500,-567,-518
19325000,-500,-565,-538
19395000,-500,-511,-527
19465000,-500,-599,-558
19535000,-500,-455,-515
19605000,-500,-515,-515
19675000,-500,-493,-506
19745000,-500,-528,-516
19815000,-500,-578,-543
19885000,-500,-511,-530
19955000,-500,-537,-533
20025000,-500,-483,-512
20095000,-500,-449,-486
20165000,-500,-421,-459
20235000,-500,-485,-471
20305000,-500,-437,-457
20375000,-500,-588,-513
20445000,-500,-599,-550
20515000,-500,-465,-515
20585000,-500,-541,-527
20655000,-500,-492,-513
20725000,-500,-593,-547
20795000,-500,-542,-545
20865000,-500,-531,-540
20935000,-500,-466,-509
21005000,-500,-507,-509
